company,esg_avg,esg_last,n_docs,greenwash_flag,year,stock_price,market_cap,debt
현대자동차,0.75,0.70,5,0,2021,194000,44.33,183.2
현대자동차,0.75,0.72,5,0,2022,211500,44.97,181.4
현대자동차,0.75,0.76,5,0,2023,154000,33.54,177.4
현대자동차,0.75,0.78,5,0,2024,202000,42.41,182.5
현대자동차,0.75,0.80,5,0,2025,216000,44.29,179.5
삼성전자,0.9099999999999999,0.72,5,0,2021,81000,495.49,30.0
삼성전자,0.9099999999999999,0.80,5,0,2022,79400,469.22,24.2
삼성전자,0.9099999999999999,0.85,5,0,2023,55500,333.32,32.1
삼성전자,0.9099999999999999,0.88,5,0,2024,78200,475.19,37.5
삼성전자,0.9099999999999999,0.90,5,0,2025,52700,318.78,35.7
한화솔루션,0.85,0.78,5,0,2021,48500,7.86,144.0
한화솔루션,0.85,0.80,5,0,2022,35500,6.79,140.8
한화솔루션,0.85,0.83,5,0,2023,43400,8.19,167.1
한화솔루션,0.85,0.85,5,0,2024,39500,6.63,183.2
한화솔루션,0.85,0.87,5,0,2025,16210,2.77,178.0
LG전자,0.60,0.65,5,0,2021,136500,23.23,174.79
LG전자,0.62,0.68,5,0,2022,139500,22.82,155.10
LG전자,0.65,0.72,5,0,2023,87200,14.13,145.23
LG전자,0.68,0.75,5,0,2024,101500,16.59,156.36
LG전자,0.70,0.78,5,0,2025,83500,13.74,160.31
NAVER,0.60,0.55,5,0,2020,291500,48.12,40.2
NAVER,0.62,0.58,5,0,2021,379000,61.68,44.6
NAVER,0.65,0.60,5,0,2022,179500,29.44,47.5
NAVER,0.68,0.63,5,0,2023,222500,36.9441,41.4
NAVER,0.70,0.65,5,0,2024,199500,30.70,40.9
SK하이닉스,0.55,0.50,6,0,2021,120000,95.36,54.9
SK하이닉스,0.58,0.55,6,0,2022,90000,54.60,64.1
SK하이닉스,0.62,0.58,6,0,2023,95000,103.01,87.5
SK하이닉스,0.68,0.62,6,0,2024,110000,126.59,62.2
SK하이닉스,0.72,0.65,6,0,2025,130000,252.98,48.1
